	Entrez Gene ID
Sprr3	20766
sps	20767
Sephs2	20768
Mucl2	20770
Mucl1	20771
Sptlc2	20773
Sqle	20775
Tmie	20776
Scarb1	20778
Src	20779
Srcs2	20782
Srcs4	20784
Srebf1	20787
Srebf2	20788
Srf	20807
Srm	20810
Srms	20811
srn	20812
Srp14	20813
Srpk1	20815
Srpk2	20817
Srprb	20818
Srst	20819
Trim21	20821
Ro60	20822
Ssb	20823
Snu13	20826
Ssm1	20829
Ssr4	20832
Ssrp1	20833
Znrf4	20834
st	20837
Stac	20840
Zfp143	20841
Stag1	20842
Stag2	20843
Stam	20844
Star	20845
Stat1	20846
Stat2	20847
Stat3	20848
Stat4	20849
Stat5a	20850
Stat5b	20851
Stat6	20852
Stau1	20853
stb	20854
Stc1	20855
Stc2	20856
Sult2a1	20859
Sult1e1	20860
Stfa1	20861
Stfa2	20862
Stfa3	20863
Stim1	20866
Stip1	20867
Stk10	20868
Stk11	20869
Dyrk1c	20870
Aurkc	20871
Stk16	20872
Plk4	20873
Slk	20874
Aurkb	20877
Aurka	20878
stm	20882
Sult1a1	20887
Sult1c1	20888
Wnt8a	20890
Cenpx	20892
Bhlhe40	20893
Stra6	20897
Stra8	20899
Strap	20901
Sts	20905
stu	20906
Stx1a	20907
Stx3	20908
Stx4a	20909
Stxbp1	20910
Stxbp2	20911
Stxbp3	20912
Stxbp4	20913
sty	20914
su	20915
Sucla2	20916
Suclg2	20917
Eif1	20918
Supt4a	20922
Supt5	20924
Supt6	20926
Abcc8	20927
Abcc9	20928
Surf1	20930
Surf2	20931
Surf4	20932
Med22	20933
Surf6	20935
Suv39h1	20937
Sva	20939
Svs4	20941
Svs5	20944
Svs6	20945
Swap70	20947
sy	20954
Vamp7	20955
Sycp1	20957
Sycp1-ps1	20958
Sycp3	20962
Syk	20963
Syn1	20964
Syn2	20965
Sdc1	20969
Sdc3	20970
Sdc4	20971
Syngr1	20972
Syngr2	20973
Syngr3	20974
Synj2	20975
Syp	20977
Syt1	20979
Syt2	20980
Syt3	20981
Syt4	20983
T	20997
t	20998
T(;16)129Dn	20999
T(1;10)11Ad	21001
T(1;12)52H	21003
T(1;13)1Wa	21005
T(1;13)70H	21007
T(1;14)1Po	21009
T(1;14)5Gso	21011
T(1C2;16C3)45Dn	21013
T(1;17)190Ca	21015
T(1;2)5Ca	21017
T(1;6)42Ad	21019
T(1;7)27Ad	21021
T(1;7)40H	21023
T(1;7)49H	21025
T(1;8)63H	21027
T(1;9)27H	21029
T(10;11)75H	21031
T(10;11)Rl	21033
T(10;12)10Rl	21035
T(10;12)38Ad	21037
T(10;13)199H	21039
T(10;13)3Ad	21041
T(10;14)8Rk	21043
T(10;16)232Dn	21045
T(10;16)59H	21047
T(10;17)11Rl	21049
T(10;18)12Rl	21051
T(10;18)18H	21053
T(10;18)21Ad	21055
T(11;13)41Ad	21057
T(11;13)56H	21059
T(11B1;16B5)233Dn	21061
T(11A2;16B3)238Dn	21063
T(11;16)29Ad	21065
T(11;16A)53Dn	21067
T(11;17)202Dn	21069
T(11;19)42H	21071
T(12;17)4Rk	21073
T(12;17)9Gso	21075
T(13;14)69H	21077
T(13;17)1Lub	21079
T(14;15)6Ca	21081
T(14E4or5;16B5)225Dn	21083
T(14;18)12Ad	21085
T(14;18)14Ad	21087
T(15;16)198Dn	21089
T(15;16)1Kl	21091
T(15E;16B1)60Dn	21093
T(15;18)22Ad	21095
T(15;19)6Gso	21097
T(16;17)43H	21099
T(16C3-4;17A2)65Dn	21101
T(16;17)7Gso	21103
T(16;19)239Dn	21105
T(17;18)4Gso	21107
T(2;10)14Ad	21109
T(2;11)30H	21111
T(2D;11B5)4Dn	21113
T(2;12)47Dn	21115
T(2;14)1Gso	21117
T(2;14)48H	21119
T(2;15)15Ad	21121
T(2;15)45Ad	21123
T(2;16)28H	21125
T(2;19)68H	21127
T(2;3)24H	21129
T(2;4)13H	21131
T(2;4)1Ca	21133
T(2;4)1Go	21135
T(2;4)1Sn	21137
T(2;4)32Ad	21139
T(2C1-2;4D)41Dn	21141
T(2;5)43Ad	21143
T(2;6)7Ca	21145
T(2;6)97Dn	21147
T(2;8)26H	21149
T(2;8)2Wa	21151
T(2;8)36Ad	21153
T(2;9)11H	21155
T(2;9)13Ad	21157
T(3;10)61H	21159
T(3;11)16Ad	21161
T(3;12)30Rk	21163
T(3;12)58H	21165
T(3;14)28Ad	21167
T(3;19)25Ad	21169
T(3;4)5Rk	21171
T(3;6)37Ad	21173
T(4;12)47H	21175
T(4;16)31Ad	21177
T(4;17)2Lws	21179
T(4;19)1Ad	21181
T(4;5)46H	21183
T(4;6)48Ad	21185
T(4;7)1Rl	21187
T(4;8)Tp(8q8p)36H	21190
T(4;9)45H	21192
T(4;In8)36H	21194
T(5;10)9Rl	21196
T(5;11)17Ad	21198
T(5;11)542Ct	21200
T(5;11)57H	21202
T(5;12)31H	21204
T(5;13)264Ca	21206
T(5;13)5Ad	21208
T(5;14)2Gso	21210
T(5;15)49Ad	21212
T(5;15)4Ad	21214
T(5;15)8Gso	21216
T(5;16)53H	21218
T(5;16)55H	21220
T(5;7)30Ad	21222
T(5;7)50Ad	21224
T(5;8)3Rk	21226
T(6;)39H	21227
T(6;10)18Ad	21229
T(6;12)32H	21231
T(6;13)3Gso	21233
T(6;13)6Ad	21235
T(6F;18C)57Dn	21237
T(6;7)17Ad	21239
T(6;7)51H	21241
T(6;8)2Ad	21243
T(7;11)40Ad	21245
T(7;11)64H	21247
T(7;11)65H	21249
T(7;12)19Ad	21251
T(7;13)43Ad	21253
T(7;13)7Ad	21255
T(7;14)2Iem	21257
T(7;15)9H	21259
T(7;16)235Dn	21261
T(7;16)67H	21263
T(7;17)3Bkm	21265
T(7;18)50H	21267
T(7;19)10Gso	21269
T(7;19)145H	21271
T(8;10)8Ad	21273
T(8A4;12D1)69Dn	21275
T(8C3;16B5)164Dn	21277
T(8;16)17H	21279
T(9;10)62H	21281
T(9;11)9Ad	21283
T(9;12)20Ad	21285
T(9;17)10Ad	21287
T(9;17)138Ca	21289
T(In1;5)44H	21292
T(X;11)38H	21294
T(X;12)13Rl	21296
T(X;16)16H	21298
T(X;17)15Rl	21300
T(X;2)14Rl	21302
T(X;4)1Rl	21304
T(X;4)37H	21306
T(X;4)7Rl	21308
T(X;4)8Rl	21310
T(X;7)18Rl	21312
T(X;7)1Neu	21316
T(X;7)2Neu	21318
T(X;7)2Rl	21320
T(X;7)3Neu	21322
T(X;7)3Rl	21324
T(X;7)5Rl	21326
T(X;7)6Rl	21328
T2	21331
Tac1	21333
Tac2	21334
Tacc3	21335
Tacr1	21336
Tacr2	21337
Tacr3	21338
Taf1a	21339
Taf1b	21340
Taf1c	21341
Taf6	21343
Tagln	21345
Tagln2	21346
Tal1	21349
Tal2	21350
Taldo1	21351
Tank	21353
Tap1	21354
Tap2	21355
Tapbp	21356
Tarbp2	21357
Targ1	21360
Targ3	21362
Slc6a6	21366
Cntn2	21367
tb	21369
Tbca	21371
Tbl1x	21372
Tbp	21374
Tbr1	21375
Tbrg1	21376
Tbrg2	21377
Tbrg3	21378
Tbrg4	21379
Tbx1	21380
Tbx15	21384
Tbx2	21385
Tbx3	21386
Tbx4	21387
Tbx5	21388
Tbx6	21389
Tbxa2r	21390
Tbxas1	21391
Tcap	21393
Tcea1	21399
Tcea2	21400
Tcea3	21401
Skp1	21402
Hnf1a	21405
Tcf12	21406
Tcf15	21407
Zfp354a	21408
Hnf1b	21410
Tcf20	21411
Tcf21	21412
Tcf4	21413
Tcf7	21414
Tcf7l1	21415
Tcf7l2	21416
Zeb1	21417
Tfap2a	21418
Tfap2b	21419
Tfap2c	21420
Tfcp2	21422
Tcf3	21423
Tfeb	21425
Tfec	21426
Vps72	21427
Mlx	21428
Ubtf	21429
tch	21430
tcl0	21431
Tcl1	21432
tcl12	21433
tcl4	21434
tclLub1	21435
tclLub2	21436
tclLub9	21437
tclPa1	21438
tclTuw11	21439
tclTuw12	21440
tclTuw2	21441
tclTuw20	21442
tclTuw24	21443
tclTuw25	21444
tclTuw27	21445
tclTuw28	21446
tclw12	21447
tclw18	21448
tclw73	21450
Tcn2	21452
Tcof1	21453
Tcp1	21454
Tcp1-ps1	21455
Tcp10	21458
Tcp10-ps	21459
Tcp10a	21461
Tcp10b	21462
Tcp11	21463
Tcra	21473
Tcra-J	21475
Trav5-4	21507
Tcra-V2	21524
Tcra-V2.2	21526
Tcra-V2.3	21527
Tcra-V2.4	21528
Tcra-V2.5	21529
Tcra-V2.6	21530
Tcrb	21577
Tcrb-J	21580
Tcrd-V1	21616
Trgv1	21632
Trgv2	21636
Trgv3	21637
Trgv4	21638
Trgv5	21639
Trgv6	21640
Trgv7	21641
tct1	21642
tct2	21643
Tcte1	21645
Tcte2	21646
Tcte3	21647
Dynlt1b	21648
Phf1	21652
tda1	21661
tda2	21662
tda3	21663
Phlda1	21664
Tdg	21665
Tdgf1	21667
Tdgf1-ps2	21669
Prdx2	21672
Dntt	21673
Sry	21674
te	21675
Tead1	21676
Tead2	21677
Tead3	21678
Tead4	21679
Alyref	21681
Tec	21682
Tecta	21683
Tectb	21684
Tef	21685
Tek	21687
Tekt1	21689
Tel-rs2	21691
Tel-rs3	21692
Tel-rs4	21693
Inmt	21743
Adad1	21744
Tep1	21745
Terc	21748
Terf1	21749
Terf2	21750
Tert	21752
Tes	21753
Tesk1	21754
Prss39	21755
Prss40	21756
Tet(5<12>)1Jic	21758
Morf4l1	21761
Psmd2	21762
Tex2	21763
Tex261	21766
Tex264	21767
Zfand3	21769
Ppp2r5d	21770
Utp4	21771
Tex9	21778
Tfam	21780
Tfdp1	21781
Tfdp1-ps	21782
Tff1	21784
Tff2	21785
Tff3	21786
Tfg	21787
Tfpi	21788
Tfpi2	21789
Tgfa	21802
Tgfb1	21803
Tgfb1i1	21804
Tsc22d1	21807
Tgfb2	21808
Tgfb3	21809
Tgfbi	21810
Tgfbr1	21812
Tgfbr2	21813
Tgfbr3	21814
Tgif1	21815
Tgm1	21816
Tgm2	21817
Tgm3	21818
Tg	21819
Ift88	21821
Tgtp1	21822
Th	21823
Thbd	21824
Thbs1	21825
Thbs2	21826
Thbs3	21827
Thbs4	21828
thd	21829
Theg	21830
thf	21831
Thpo	21832
Thra	21833
Thrb	21834
Thrsp	21835
Thse	21836
Tht	21837
Thy1	21838
ti	21840
Tia1	21841
Tial1	21843
Tiam1	21844
Tie1	21846
Klf10	21847
Trim24	21848
Trim28	21849
Timeless	21853
Timm17a	21854
Timm17b	21855
Timm44	21856
Timp1	21857
Timp2	21858
Timp3	21859
tint	21863
tip	21864
Nkx2-1	21869
Atp6v0a2	21871
Tjp1	21872
Tjp2	21873
tk	21874
Tk1	21877
Tkt	21881
Fabp9	21884
Tle1	21885
Tle2	21886
Tle3	21887
Tle4	21888
Tll1	21892
Tlm	21893
Tln1	21894
Tlr1	21897
Tlr4	21898
Tlr6	21899
Otop1	21906
Nr2e1	21907
Tlx1	21908
Tlx2	21909
tm	21911
Tspan7	21912
Dtymk	21915
Tmod1	21916
Tmpo	21917
Clec3b	21922
Tnc	21923
Tnnc1	21924
Tnnc2	21925
Tnf	21926
Tnfaip1	21927
Tnfaip2	21928
Tnfaip3	21929
Tnfaip6	21930
Tnfrsf10b	21933
Tnfrsf11a	21934
Tnfrsf17	21935
Tnfrsf18	21936
Tnfrsf1a	21937
Tnfrsf1b	21938
Cd40	21939
Cd27	21940
Tnfrsf8	21941
Tnfrsf9	21942
Tnfsf11	21943
Tnfsf12	21944
Dedd	21945
Pglyrp1	21946
Cd40lg	21947
Cd70	21948
Tnfsf8	21949
Tnfsf9	21950
Tnks	21951
Tnni1	21952
Tnni2	21953
Tnni3	21954
Tnnt1	21955
Tnnt2	21956
Tnnt3	21957
Tnp1	21958
Tnp2	21959
Tnr	21960
Tns1	21961
Tom1	21968
Top1	21969
Top2a	21973
Top2b	21974
Top3a	21975
Top3b	21976
tor	21977
tp	21978
Tp(Y)1Ct	21979
Ppp1r13b	21981
Tmem165	21982
Tpbg	21983
Tpbpa	21984
Tpd52	21985
Tpd52l1	21987
Tph1	21990
Tpi1	21991
Tpm1	22003
Tpm2	22004
Tpmt	22017
Tpo	22018
Tpp2	22019
Tpst1	22021
Tpst2	22022
Crisp2	22024
Nr2c1	22025
Nr2c2	22026
Hsp90b1	22027
Traf1	22029
Traf2	22030
Traf3	22031
Traf4	22032
Traf5	22033
Traf6	22034
Tnfsf10	22035
Traip	22036
Trap1a	22037
Plscr1	22038
Trex1	22040
Trf	22041
Tfrc	22042
Trh	22044
Trhr	22045
Trip6	22051
trm	22052
n-THgtg2	22053
n-THgtg5	22054
n-THgtg3	22055
Tob1	22057
Trp53	22059
Trp53-ps	22060
Trp63	22061
Trp73	22062
Trpc1	22063
Trpc2	22064
Trpc3	22065
Trpc4	22066
Trpc5	22067
Trpc6	22068
n-TUtca2	22069
Tpt1	22070
Prss2	22072
Prss3	22073
Try4	22074
Ts(1<13>)70H	22078
Ctr9	22083
Tsc2	22084
Tsg101	22088
Tsg101-ps	22089
Rsph1	22092
Tshb	22094
Tshr	22095
Tsix	22097
Tsn	22099
Tspy-ps	22109
Tspyl1	22110
Tspyl-ps	22111
Phlda2	22113
Tssk1	22114
Tssk2	22115
Tsks	22116
Tst	22117
Rpl13a	22121
Gfus	22122
Psmd3	22123
Tsx	22127
Ttc3	22129
Ttf1	22130
TTg(3;10)1Tex	22131
TTg(6;17)1N	22133
Tgoln1	22134
Tgoln2	22135
Ttk	22137
Ttn	22138
Ttr	22139
tu	22140
Tub	22141
Tuba1a	22142
Tuba1b	22143
Tuba3a	22144
Tuba4a	22145
Tuba1c	22146
Tuba3b	22147
Tubb2a	22151
Tubb3	22152
Tubb4a	22153
Tubb5	22154
Tuft1	22156
Tulp1	22157
Tulp3	22158
Twist1	22160
Tnfrsf4	22163
Tnfsf4	22164
Txk	22165
Txn1	22166
Txn-ps1	22167
Cmpk2	22169
Tyms	22171
Tyms-ps	22172
Tyr	22173
Tyro3	22174
Tyrobp	22177
Tyrp1	22178
Zrsr1	22183
Zrsr2	22184
U2af2	22185
Uba52	22186
Ubb	22187
Ubc	22190
Ube2m	22192
Ube2e3	22193
Ube2e1	22194
Ube2l3	22195
Ube2i	22196
Uba3	22200
Uba1	22201
Uba1y	22202
Uba1y-ps1	22203
Uba1y-ps2	22204
Ube2a	22209
Ube2b	22210
Ube2g2	22213
Ube2h	22214
Ube3a	22215
Usp12	22217
Sumo1	22218
Ubp1	22221
Ubr1	22222
Uchl1	22223
Usp10	22224
Usp5	22225
Ucn	22226
Ucp1	22227
Ucp2	22228
Ucp3	22229
Ufd1	22230
Slc35a2	22232
Ugcg	22234
Ugdh	22235
Ugt1a2	22236
Ugt2b5	22238
Ugt8a	22239
Dpysl3	22240
Ulk1	22241
Umod	22242
Uck1	22245
Umps	22247
Unc119	22248
Unc13b	22249
Unc5c	22253
Uncx	22255
Ung	22256
Usp4	22258
Nr1h3	22259
Nr1h2	22260
uns	22261
Uox	22262
Prap1	22264
Upk1b	22268
Upk2	22269
Upk3a	22270
Upp1	22271
Uqcrq	22272
Uqcrc1	22273
ur	22274
Urod	22275
Uros	22276
us	22277
Usf1	22278
Usf2	22282
Ush2a	22283
Usp9x	22284
Utf1	22286
Scgb1a1	22287
Utrn	22288
Kdm6a	22289
Uty	22290
Slc45a2	22293
Uxt	22294
Cdh23	22295
Vmn1r51	22296
Vmn1r45	22297
Vmn2r123	22300
Vmn2r89	22301
Vmn2r37	22305
Vmn2r30	22306
Vmn2r10	22307
Vmn2r122	22308
Vmn2r42	22310
Vmn2r32	22311
Vmn2r107	22312
Vmn2r104	22313
Vmn2r-ps159	22314
Vamp1	22317
Vamp2	22318
Vamp3	22319
Vamp8	22320
Vars	22321
Vasp	22323
Vav1	22324
Vav2	22325
Vax1	22326
Vbp1	22327
vc	22328
Vcam1	22329
Vcl	22330
Vdac1	22333
Vdac2	22334
Vdac3	22335
Vdac3-ps1	22336
Vdr	22337
Vegfa	22339
Vegfb	22340
Vegfc	22341
Lin7b	22342
Lin7c	22343
Vezf1	22344
Vhl	22346
Slc32a1	22348
Vil1	22349
Ezr	22350
Vill	22351
Vim	22352
Vip	22353
Vipr1	22354
Vipr2	22355
Vldlr	22359
Nrsn1	22360
Vnn1	22361
Vpreb1	22362
Vpreb2	22363
Vpreb3	22364
Vps45	22365
Vrk1	22367
Trpv2	22368
Vtn	22370
Vwf	22371
wal	22372
Wap	22373
Wars	22375
Was	22376
Wbp1	22377
Wbp2	22378
Fmnl3	22379
Wbp4	22380
Tceal9	22381
Eif4h	22384
Baz1b	22385
wd	22387
Wdr1	22388
Wee1	22390
wfd	22392
Wfs1	22393
wh	22394
Zmat3	22401
Ccn4	22402
Ccn5	22403
Wiz	22404
Wld	22406
wn	22407
Wnt1	22408
Wnt10a	22409
Wnt10b	22410
Wnt11	22411
Wnt9b	22412
Wnt2	22413
Wnt2b	22414
Wnt3	22415
Wnt3a	22416
Wnt4	22417
Wnt5a	22418
Wnt5b	22419
Wnt6	22420
Wnt7a	22421
Wnt7b	22422
Wnt8b	22423
Wrn	22427
Dctn6	22428
Wt1	22431
Xbp1	22433
Xdh	22436
Xirp1	22437
Xk	22439
Xlr	22441
Xlr3a	22445
Xlr3c	22446
Gm4836	22526
Xmv14	22532
Xmv28	22547
Xmv44	22564
Xmv8	22586
Xmv9	22587
xn	22588
Atrx	22589
Xpa	22590
Xpc	22591
Ercc5	22592
Xrcc1	22594
Xrcc5	22596
Slc6a18	22598
Slc6a20b	22599
Yap1	22601
YB10	22602
Ybx1	22608
Ybx1-ps1	22609
Yes1	22612
Siae	22619
Map3k19	22625
Slc23a3	22626
Ywhae	22627
Ywhag	22628
Ywhah	22629
Ywhaq	22630
Ywhaz	22631
Yy1	22632
z	22633
Plagl1	22634
Zan	22635
Zap70	22637
Zfa-ps	22639
Zfp1	22640
Zbtb17	22642
Zfp101	22643
Rnf103	22644
Zfp105	22646
Zfp11	22648
Zfp125	22651
Mkrn3	22652
Zfp13	22654
Pcgf2	22658
Zfp148	22661
Zbtb14	22666
Sf1	22668
Trim26	22670
Rnf112	22671
Zfp185	22673
Zfp2	22678
Zfp207	22680
Zfand5	22682
Zfp239	22685
Zpr1	22687
Zfp26	22688
Zfp27	22689
Zfp28	22690
Zscan2	22691
Zfp30	22693
Zfp35	22694
Zfp36	22695
Zfp37	22696
Zscan21	22697
Zfp39	22698
Zfp40	22700
Zfp41	22701
Zfp42	22702
Zfp42-ps1	22703
Zfp46	22704
Zfp51	22709
Zfp52	22710
Zfp54	22712
Zfp57	22715
Zfp59	22717
Zfp60	22718
Zfp61	22719
Zfp62	22720
Zfp64	22722
Zbtb7b	22724
Zfp85	22746
Zfp9	22750
Zfp90	22751
Zfp92	22754
Zfp93	22755
Zfp94	22756
Zkscan5	22757
Zscan12	22758
Zfp97	22759
Zfpm1	22761
Zfpm2	22762
Zfr	22763
Zfx	22764
Zfy1	22767
Zfy2	22768
Zhx1	22770
Zic1	22771
Zic2	22772
Zic3	22773
Zic4	22774
Zik1	22775
Zim1	22776
Ikzf1	22778
Ikzf2	22779
Ikzf3	22780
Ikzf4	22781
Slc30a1	22782
Slc30a3	22784
Slc30a4	22785
Zp1	22786
Zp2	22787
Zp3	22788
Zp3r	22789
Dnajc2	22791
Zyx	22793
Coro1b	23789
Coro1c	23790
Adam23	23792
Adam25	23793
Adamts5	23794
Agr2	23795
Aplnr	23796
Akt3	23797
Aloxe3	23801
Amfr	23802
Apc2	23805
Arih1	23806
Arih2	23807
Ash2l	23808
B160F9S	23809
B160F9T	23810
B292G21S	23811
B292G21T	23812
B430B21S	23813
B430B21T	23814
B437A17S	23815
B437A17T	23816
B446L11S	23817
B446L11T	23818
B489B12S	23819
B489B12T	23820
Bace1	23821
Banf1	23825
Bpnt1	23827
Bves	23828
C1ql1	23829
Capn10	23830
Car14	23831
Xcr1	23832
Cd52	23833
Cdc6	23834
Cdh20	23836
Cfdp1	23837
Clca1	23844
Clec5a	23845
Klf6	23849
Pappa2	23850
Def6	23853
Def8	23854
Defa17	23855
Dido1	23856
Dmtf1	23857
Dlg2	23859
Dand5	23863
Ets1	23871
Ets2	23872
Faim	23873
Farsb	23874
Fbln5	23876
Fiz1	23877
Fxr2	23879
Fyb	23880
G3bp2	23881
Gadd45g	23882
Gmcl1	23885
Gdf15	23886
Ggt5	23887
Gpc6	23888
Gpr34	23890
Grem1	23892
Grem2	23893
Gtf2h2	23894
Hax1	23897
Hcst	23900
Hnrpfl	23906
Hs2st1	23908
Rhof	23912
Ifld3	23914
Ifld4	23915
Ifld5	23916
Impdh1	23917
Impdh2	23918
Insl5	23919
Insrr	23920
Sh2b2	23921
Jtb	23922
Aadat	23923
Katna1	23924
Kel	23925
Krtap14	23927
Lamc3	23928
Ly6h	23934
Lynx1	23936
Mab21l2	23937
Map2k5	23938
Mapk7	23939
Mta2	23942
Esyt1	23943
Mgll	23945
Mid2	23947
Mmp17	23948
Dnajb6	23950
mwfh	23951
Nek3	23954
Nek4	23955
Neu2	23956
Nr0b2	23957
Nr2e3	23958
Nt5e	23959
Oas1g	23960
Oas1b	23961
Oasl2	23962
Tenm1	23963
Tenm2	23964
Tenm3	23965
Tenm4	23966
Osr1	23967
Nlrp5	23968
Pacsin1	23969
Pacsin2	23970
Papss1	23971
Papss2	23972
Pebp1	23980
Pcbp1	23983
Pde10a	23984
Slc26a4	23985
Eci2	23986
Pin1	23988
Med24	23989
Cib1	23991
Prkra	23992
Klk7	23993
Dazap2	23994
Psmc4	23996
Psmd13	23997
Twf2	23999
Ptpn21	24000
Tiam2	24001
Rai2	24004
Ik	24010
Rgs7	24012
Grk1	24013
Rnasel	24014
Abce1	24015
Rnf13	24017
Rngtt	24018
Mrps12	24030
Scamp2	24044
Scamp3	24045
Scn11a	24046
Ccl19	24047
Septin3	24050
Sgcb	24051
Sgcd	24052
Sgcg	24053
sgl	24054
Sh3bp2	24055
Sh3bp5	24056
Sh3yl1	24057
Sigirr	24058
Slco2a1	24059
Slc35a1	24060
Smc1a	24061
Spry1	24063
Spry2	24064
Spry4	24066
Srp54a	24067
Sra1	24068
Sufu	24069
Mpdu1	24070
Synj2bp	24071
Taf7	24074
Taf10	24075
Tcra-V22.1	24078
Tcra-V22.2	24079
Tcra-V22.3	24080
Tcra-V22.4	24081
Map2k3os	24082
Natd1	24083
Tekt2	24084
Tlk2	24086
Tll2	24087
Tlr2	24088
Tnfsf13b	24099
Tpra1	24100
Trex2	24102
Rbck1	24105
Ubd	24108
Ubl3	24109
Usp18	24110
Uts2	24111
Vmn1r49	24112
Vax2	24113
Best1	24115
Nelfa	24116
Wif1	24117
Xrn1	24127
Xrn2	24128
Y301C7L	24129
Ldb3	24131
Zfp53	24132
Zfp68	24135
Zeb2	24136
Ing1	26356
Abcg2	26357
Aldh1a7	26358
Anxa10	26359
Angptl2	26360
Avpr1b	26361
Axl	26362
Btd	26363
Adgre5	26364
Ceacam1	26365
Ceacam10	26366
Ceacam2	26367
Ceacam9	26368
Cetn1	26369
Cetn2	26370
Ciao1	26371
Clcn6	26372
Clcn7	26373
Cop1	26374
Dapp1	26377
Decr2	26378
Esrra	26379
Esrrb	26380
Esrrg	26381
Fgd2	26382
Fto	26383
Gnpda1	26384
Grk6	26385
Hsf4	26386
Ifi202b	26388
Ifi202c	26389
Mapkbp1	26390
Lypla2	26394
Map2k1	26395
Map2k2	26396
Map2k3	26397
Map2k4	26398
Map2k6	26399
Map2k7	26400
Map3k1	26401
Map3k11	26403
Map3k12	26404
Map3k2	26405
Map3k3	26406
Map3k4	26407
Map3k5	26408
Map3k7	26409
Map3k8	26410
Map4k1	26411
Map4k2	26412
Mapk1	26413
Mapk10	26414
Mapk13	26415
Mapk14	26416
Mapk3	26417
Mapk8	26419
Mapk9	26420
Prl2c4	26421
Nbea	26422
Nr5a1	26423
Nr5a2	26424
Nubp1	26425
Nubp2	26426
Creb3l1	26427
Orc4	26428
Orc5	26429
Parg	26430
Git2	26431
Plod2	26432
Plod3	26433
Prnd	26434
Psg16	26436
Psg17	26437
Psg18	26438
Psg19	26439
Psma1	26440
Psma4	26441
Psma5	26442
Psma6	26443
Psma7	26444
Psmb2	26445
Psmb3	26446
Poli	26447
Mok	26448
Rbbp9	26450
Rpl27a	26451
Sema4g	26456
Slc27a1	26457
Slc27a2	26458
Slc27a5	26459
Txnrd2	26462
Ube2l3-ps1	26463
Vnn3	26464
Zfp146	26465
Zfp260	26466
Itgb1bp2	26549
Cul3	26554
Homer1	26556
Homer2	26557
Homer3	26558
Hunk	26559
Krtap15	26560
Mmp23	26561
Ncdn	26562
Ror1	26563
Ror2	26564
Pla2g10	26565
Slc27a3	26568
Slc27a4	26569
Slc7a11	26570
Cops3	26572
Rcn2	26611
Cops5	26754
Dpysl4	26757
Abcd2	26874
Pclo	26875
Adh4	26876
B3galt1	26877
B3galt2	26878
B3galnt1	26879
Casp8ap2	26885
Cenph	26886
Chst4	26887
Clec4a2	26888
Cln8	26889
Cops4	26891
Cops6	26893
Cops7a	26894
Cops7b	26895
Med14	26896
Acot1	26897
Ctsj	26898
Ddx3y	26900
Ss18l2	26901
Dysf	26903
Sh2d1b1	26904
Eif2s3x	26905
Eif2s3x-ps1	26906
Eif2s3y	26908
Exo1	26909
Figla	26910
Gcat	26912
Gprin1	26913
Macroh2a1	26914
Ern2	26918
Zfp346	26919
Cntrl	26920
Map4k4	26921
Mecr	26922
Aifm1	26926
Foxl2	26927
Ppnr	26930
Ppp2r5c	26931
Ppp2r5e	26932
Racgap1	26934
Mprip	26936
St6galnac5	26938
Polr3e	26939
Ecsit	26940
Slc9a3r1	26941
Spag1	26942
Serinc3	26943
Tinag	26944
Tpsg1	26945
Trpc7	26946
Vat1	26949
Vsnl1	26950
Zw10	26951
Rpl8	26961
Cul1	26965
Islr	26968
Pla2g2e	26970
Pla2g2f	26971
Spo11	26972
Eif4e2	26987
Brd7	26992
Klrk1	27007
Micall1	27008
D17Mit232.1	27009
Polk	27015
Tspan32	27027
Ermap	27028
Sgsh	27029
G3bp1	27041
Nit1	27045
Omd	27047
Etv3	27049
Rps3	27050
Aoah	27052
Asns	27053
Sec23b	27054
Fkbp9	27055
Irf5	27056
Ncoa4	27057
Srp9	27058
Sh3d19	27059
Tcirg1	27060
Bcap31	27061
Cadps	27062
B9d1	27078
Zfp275	27081
Xlr4b	27083
Xlr5c	27084
Trappc3	27096
Eif2ak4	27103
Tlx3	27140
Rpl7a	27176
Syn3	27204
Podxl	27205
Nrk	27206
Rps11	27207
Snord33	27208
Snord32a	27209
Snord34	27210
Snord35a	27211
Snord35b	27212
Dbf4	27214
Azi2	27215
Olfr154	27216
Mixl1	27217
Slamf1	27218
Sgk2	27219
Cartpt	27220
Chaf1a	27221
Atp1a4	27222
Trp53bp1	27223
Eloa	27224
Ddx24	27225
Pla2g7	27226
Plek2	27260
Dok3	27261
Smok1	27262
Smok2a	27263
Cars	27267
Pdk4	27273
Zfp354b	27274
Nufip1	27275
Plekhb1	27276
Golga5	27277
Clnk	27278
Tnfrsf12a	27279
Phlda3	27280
Plaat1	27281
Erv4	27282
Nbn	27354
Pald1	27355
Insl6	27356
Gyg	27357
Defb3	27358
Sytl4	27359
Add3	27360
Msrb1	27361
Dnajb9	27362
Srr	27364
Txnl4a	27366
Rpl3	27367
Tbl2	27368
Dguok	27369
Rps26	27370
Sh2d2a	27371
Prl3c1	27372
Csnk1e	27373
Prmt5	27374
Tjp3	27375
Slc25a10	27376
Yme1l1	27377
Tcl1b3	27378
Tcl1b1	27379
Tcl1b4	27380
Tcl1b2	27381
Tcl1b5	27382
Akr1c13	27384
Magel2	27385
Npas3	27386
Sh2d3c	27387
Ptdss2	27388
